url,domain_name,ip,dport,country,having_ip_address,hostname_length,count_dir,count-www,fd_length,url_length,abnormal_url,count-http,count-letters,tld-length,count.,count-digits,count-,count=,count-https,sus_url,count?,count%,short_url,count@,count_embed_domain,malicous
http://27.215.140.91:40826/Mozi.m,27.215.140.91,27.215.140.91,40826,CN,True,13,1,0,6,33,1,1,9,-1,4,15,0,0,0,0,0,0,0,0,0,True
http://174.83.73.163:45991/bin.sh,174.83.73.163,174.83.73.163,45991,US,True,13,1,0,6,33,1,1,9,-1,4,15,0,0,0,0,0,0,0,0,0,True
http://171.81.83.205:37582/Mozi.a,171.81.83.205,171.81.83.205,37582,CN,True,13,1,0,6,33,1,1,9,-1,4,15,0,0,0,0,0,0,0,0,0,True
http://171.117.51.79:44160/Mozi.a,171.117.51.79,171.117.51.79,44160,CN,True,13,1,0,6,33,1,1,9,-1,4,15,0,0,0,0,0,0,0,0,0,True
http://124.234.183.59:25597/.i,124.234.183.59,124.234.183.59,25597,CN,True,14,1,0,2,30,1,1,5,-1,4,16,0,0,0,0,0,0,0,0,0,True
http://152.243.152.20:37867/Mozi.m,152.243.152.20,152.243.152.20,37867,BR,True,14,1,0,6,34,1,1,9,-1,4,16,0,0,0,0,0,0,0,0,0,True
http://222.142.240.161:59060/Mozi.m,222.142.240.161,222.142.240.161,59060,CN,True,15,1,0,6,35,1,1,9,-1,4,17,0,0,0,0,0,0,0,0,0,True
http://61.53.248.170:54668/Mozi.m,61.53.248.170,61.53.248.170,54668,CN,True,13,1,0,6,33,1,1,9,-1,4,15,0,0,0,0,0,0,0,0,0,True
http://125.41.10.67:34437/Mozi.m,125.41.10.67,125.41.10.67,34437,CN,True,12,1,0,6,32,1,1,9,-1,4,14,0,0,0,0,0,0,0,0,0,True
http://123.13.115.152:32804/Mozi.m,123.13.115.152,123.13.115.152,32804,CN,True,14,1,0,6,34,1,1,9,-1,4,16,0,0,0,0,0,0,0,0,0,True
http://117.216.7.245:55237/Mozi.m,117.216.7.245,117.216.7.245,55237,IN,True,13,1,0,6,33,1,1,9,-1,4,15,0,0,0,0,0,0,0,0,0,True
http://117.195.91.252:40425/bin.sh,117.195.91.252,117.195.91.252,40425,IN,True,14,1,0,6,34,1,1,9,-1,4,16,0,0,0,0,0,0,0,0,0,True
http://222.141.151.191:59114/mozi.a,222.141.151.191,222.141.151.191,59114,CN,True,15,1,0,6,35,1,1,9,-1,4,17,0,0,0,0,0,0,0,0,0,True
http://117.91.145.136:27152/.i,117.91.145.136,117.91.145.136,27152,CN,True,14,1,0,2,30,1,1,5,-1,4,16,0,0,0,0,0,0,0,0,0,True
http://27.45.92.120:39750/Mozi.m,27.45.92.120,27.45.92.120,39750,CN,True,12,1,0,6,32,1,1,9,-1,4,14,0,0,0,0,0,0,0,0,0,True
http://222.135.15.177:36942/bin.sh,222.135.15.177,222.135.15.177,36942,CN,True,14,1,0,6,34,1,1,9,-1,4,16,0,0,0,0,0,0,0,0,0,True
http://189.39.203.79:57442/Mozi.a,189.39.203.79,189.39.203.79,57442,BR,True,13,1,0,6,33,1,1,9,-1,4,15,0,0,0,0,0,0,0,0,0,True
http://115.213.202.151:56320/Mozi.m,115.213.202.151,115.213.202.151,56320,CN,True,15,1,0,6,35,1,1,9,-1,4,17,0,0,0,0,0,0,0,0,0,True
http://110.180.143.211:39751/Mozi.m,110.180.143.211,110.180.143.211,39751,CN,True,15,1,0,6,35,1,1,9,-1,4,17,0,0,0,0,0,0,0,0,0,True
http://115.56.217.204:37643/Mozi.m,115.56.217.204,115.56.217.204,37643,CN,True,14,1,0,6,34,1,1,9,-1,4,16,0,0,0,0,0,0,0,0,0,True
https://winrar.software/step-install.html,winrar.software,5.149.254.84,80,NL,False,15,1,0,17,41,1,1,34,8,2,0,1,0,1,0,0,0,0,0,0,True
http://171.123.108.12:43457/i,171.123.108.12,171.123.108.12,43457,CN,True,14,1,0,1,29,1,1,5,-1,3,16,0,0,0,0,0,0,0,0,0,True
http://harveyslakecabins.com/?utm_source=google&utm_medium=cpc&utm_term=winrar&utm_content=642206462533&utm_campaign=cpc&gclid=EAIaIQobChMIlIWPnviK_AIVgYfICh11XAZyEAAYAyAAEgJD4fD_BwE,harveyslakecabins.com,206.188.192.1,80,US,False,21,1,0,0,182,1,1,143,3,1,15,0,6,0,0,1,0,0,0,0,True
https://lightshot.software/,lightshot.software,79.141.160.2,80,US,False,18,1,0,0,27,1,1,22,8,1,0,0,0,1,0,0,0,0,0,0,True
https://muzmannet.com/?utm_source=google&utm_medium=cpc&utm_term=winrar&utm_content=642246167213&utm_campaign=cpc&gclid=EAIaIQobChMIlIWPnviK_AIVgYfICh11XAZyEAAYASAAEgL8J_D_BwE,muzmannet.com,79.98.133.114,80,TR,False,13,1,0,0,175,1,1,135,3,1,15,0,6,1,0,1,0,1,0,0,True
